Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\shepherd_v2_nRF_FRAM_Target\Project Outputs\Pick Place\Pick Place for target_1.1a.csv

========================================================================================================================
File Design Information:

Date:       17.09.23
Time:       17:15
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Manufacturer PN","Value"
"X2","CM8V-T1A-32.768","TopLayer","XTAL_CM8V-T1A","7,5000","19,5000","270","CM8V-T1A-32.768kHz-9pF-20PPM-TA-QC","32.768 kHz"
"X1","CM8V-T1A-32.768","TopLayer","XTAL_CM8V-T1A","18,8000","19,5000","90","CM8V-T1A-32.768kHz-9pF-20PPM-TA-QC","32.768 kHz"
"U3","UD_AB1805","TopLayer","QFN50P300X300X100_HS-17N","10,4000","20,3000","90","AB1805-T3",""
"U2","UD_MSP430FR5962","TopLayer","BGA121C50P11X11_600X600X100","22,9000","20,2000","180","MSP430FR5962IZVWR",""
"U1","_ENW-89854A1KF","TopLayer","LGA81C110P13X7_1580X870X230","22,3000","7,4000","0","ENW-89854A1KF",""
"T3","T_BSH105","TopLayer","SOT95P230X110-3N","7,8000","14,3329","180","BSH105,215",""
"T2","T_BSH105","TopLayer","SOT95P230X110-3N","7,7000","9,2329","180","BSH105,215",""
"T1","T_BSH105","TopLayer","SOT95P230X110-3N","7,7000","4,1329","180","BSH105,215",""
"R50","R_0402_240R","BottomLayer","RESC1005X04","10,5000","23,8000","0","ERJ-2GEJ241X","240R"
"R49","R_0402_240R","BottomLayer","RESC1005X04","16,6000","21,0000","0","ERJ-2GEJ241X","240R"
"R48","R_0402_100R","TopLayer","RESC1005X04","6,5000","16,1329","90","ERJ-2GEJ101X","100R"
"R47","R_0402_240R","BottomLayer","RESC1005X04","18,0000","15,3000","0","ERJ-2GEJ241X","240R"
"R46","R_0402_240R","BottomLayer","RESC1005X04","7,1000","3,9000","0","ERJ-2GEJ241X","240R"
"R45","R_0402_470R","TopLayer","RESC1005X04","25,5000","15,6000","90","ERJ-2RKF4700X","470R"
"R44","R_0402_240R","BottomLayer","RESC1005X04","26,0000","16,5000","0","ERJ-2GEJ241X","240R"
"R43","R_0402_240R","BottomLayer","RESC1005X04","23,8000","22,7000","180","ERJ-2GEJ241X","240R"
