Altium Designer Pick and Place Locations
C:\Users\hans\Documents\Altium\shepherd_v2_nRF_FRAM_Target\Project Outputs\Pick Place\Pick Place for target_1.3e(OnlyPopulate).csv

========================================================================================================================
File Design Information:

Date:       07/02/25
Time:       18:02
Revision:   Not in VersionControl
Variant:    OnlyPopulate
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Manufacturer PN","Value"
"X4","ECX-.327-CDX-1293","TopLayer","XTAL_ECS-32x15","30,8000","23,6200","180","ECX-.327-CDX-1293","32.768 kHz"
"X3","ECX-.327-CDX-1293","TopLayer","XTAL_ECS-32x15","16,6300","20,6500","90","ECX-.327-CDX-1293","32.768 kHz"
"X2","ECS-320-12-37B2-7KM","TopLayer","XTAL_ECS_20x16_4L","25,5500","13,7000","0","ECS-320-12-37B2-7KM-TR","32 MHz"
"X1","ECX-.327-CDX-1293","TopLayer","XTAL_ECS-32x15","15,9500","10,4000","90","ECX-.327-CDX-1293","32.768 kHz"
"U5","UA_MCP6546","TopLayer","SOT65P210X110-5N","10,9500","23,2000","270","MCP6546T-I/LT",""
"U4","UD_TS5A3167","TopLayer","SOT65P210X110-5N","7,5500","24,1500","270","TS5A3167DCKR","SPST"
"U3","UD_AB1805","TopLayer","QFN50P300X300X100_HS-17N","32,2500","20,4200","0","AB1805-T3",""
"U2","UD_MSP430FR5994","TopLayer","BGA121C50P11X11_600X600X100","20,7500","21,2000","180","MSP430FR5994IZVWR",""
"U1","UD_nRF52840","TopLayer","BGAS73C25P24X24_700X700X85","20,9223","8,4000","0","nRF52840-QIAA",""
"T2","T_BSH105","TopLayer","SOT95P230X110-3N","9,9000","6,1500","270","BSH105,215",""
"T1","T_BSH105","TopLayer","SOT95P230X110-3N","28,3500","3,0000","180","BSH105,215",""
"R74","R_0402_100k_1%","TopLayer","RESC1005X04","13,1500","22,9500","0","ERJ-2RKF1003X","100k"
"R73","R_0402_10k","TopLayer","RESC1005X04","13,1500","24,0500","180","ERJ-2GEJ103X","10k"
"R72","R_0402_1M","TopLayer","RESC1005X04","10,9500","25,1500","180","ERJ-2GEJ105X","1M"
"R71","R_0402_100k_1%","TopLayer","RESC1005X04","7,3500","22,1000","0","ERJ-2RKF1003X","100k"
"R70","R_0402_100k_1%","TopLayer","RESC1005X04","13,1500","25,1500","0","ERJ-2RKF1003X","100k"
"R69","R_0402_240R","TopLayer","RESC1005X04","33,7500","17,0500","270","ERJ-2GEJ241X","240R"
"R68","R_0402_240R","TopLayer","RESC1005X04","30,7500","17,0500","270","ERJ-2GEJ241X","240R"
"R67","R_0402_1M","TopLayer","RESC1005X04","8,8000","8,7500","270","ERJ-2GEJ105X","1M"
"R66","R_0402_1M","TopLayer","RESC1005X04","31,0000","3,9500","180","ERJ-2GEJ105X","1M"
"R65","R_0402_100R","TopLayer","RESC1005X04","14,5500","13,6000","0","ERJ-2GEJ101X","100R"
"R64","R_0402_1k","TopLayer","RESC1005X04","33,1500","2,6500","0","ERJ-2GEJ102X","1k"
"R63","R_0402_240R","TopLayer","RESC1005X04","7,1000","9,0500","0","ERJ-2GEJ241X","240R"
"R62","R_0402_240R","TopLayer","RESC1005X04","7,1000","10,0500","0","ERJ-2GEJ241X","240R"
"R61","R_0402_47k","TopLayer","RESC1005X04","7,1000","7,0500","0","ERJ-2GEJ473X","47k"
"R60","R_0402_240R","TopLayer","RESC1005X04","16,1500","23,2000","0","ERJ-2GEJ241X","240R"
"R59","R_0402_470R","TopLayer","RESC1005X04","25,0300","20,8000","0","ERJ-2RKF4700X","470R"
"R58","R_0402_240R","TopLayer","RESC1005X04","30,7000","15,5500","180","ERJ-2GEJ241X","240R"
"R57","R_0402_470R","TopLayer","RESC1005X04","24,3500","17,0000","90","ERJ-2RKF4700X","470R"
"R56","R_0402_240R","TopLayer","RESC1005X04","9,8000","8,7500","90","ERJ-2GEJ241X","240R"
"R55","R_0402_240R","TopLayer","RESC1005X04","9,1000","12,7500","0","ERJ-2GEJ241X","240R"
"R54","R_0402_240R","TopLayer","RESC1005X04","9,1000","13,7500","0","ERJ-2GEJ241X","240R"
"R53","R_0402_240R","TopLayer","RESC1005X04","7,1000","18,4500","0","ERJ-2GEJ241X","240R"
"R52","R_0402_240R","TopLayer","RESC1005X04","25,1000","22,1500","180","ERJ-2GEJ241X","240R"
"R51","R_0402_240R","TopLayer","RESC1005X04","31,7500","17,0500","270","ERJ-2GEJ241X","240R"
"R50","R_0402_240R","TopLayer","RESC1005X04","7,1000","19,6000","0","ERJ-2GEJ241X","240R"
"R49","R_0402_240R","TopLayer","RESC1005X04","29,2500","17,5500","180","ERJ-2GEJ241X","240R"
"R48","R_0402_240R","TopLayer","RESC1005X04","16,3000","25,2000","0","ERJ-2GEJ241X","240R"
"R47","R_0402_240R","TopLayer","RESC1005X04","9,1000","14,7500","0","ERJ-2GEJ241X","240R"
"R46","R_0402_240R","TopLayer","RESC1005X04","16,1500","24,2000","0","ERJ-2GEJ241X","240R"
"R45","R_0402_240R","TopLayer","RESC1005X04","9,1000","15,7500","0","ERJ-2GEJ241X","240R"
"R44","R_0402_470R","TopLayer","RESC1005X04","25,1000","25,1500","180","ERJ-2RKF4700X","470R"
"R43","R_0402_240R","TopLayer","RESC1005X04","7,1000","13,2500","0","ERJ-2GEJ241X","240R"
"R42","R_0402_470R","TopLayer","RESC1005X04","25,1000","24,1500","180","ERJ-2RKF4700X","470R"
"R41","R_0402_240R","TopLayer","RESC1005X04","31,0000","2,9500","0","ERJ-2GEJ241X","240R"
"R40","R_0402_240R","TopLayer","RESC1005X04","7,1000","17,4500","0","ERJ-2GEJ241X","240R"
"R39","R_0402_240R","TopLayer","RESC1005X04","7,1000","11,0500","0","ERJ-2GEJ241X","240R"
"R38","R_0402_470R","TopLayer","RESC1005X04","22,2500","17,0000","90","ERJ-2RKF4700X","470R"
"R37","R_0402_240R","TopLayer","RESC1005X04","7,1000","12,0500","0","ERJ-2GEJ241X","240R"
"R36","R_0402_470R","TopLayer","RESC1005X04","23,2500","16,8500","90","ERJ-2RKF4700X","470R"
"R35","R_0402_240R","TopLayer","RESC1005X04","9,1000","17,0500","0","ERJ-2GEJ241X","240R"
"R34","R_0402_240R","TopLayer","RESC1005X04","7,1000","16,2500","0","ERJ-2GEJ241X","240R"
"R33","R_0402_240R","TopLayer","RESC1005X04","7,1000","15,2500","0","ERJ-2GEJ241X","240R"
"R32","R_0402_240R","TopLayer","RESC1005X04","7,1000","14,2500","0","ERJ-2GEJ241X","240R"
"R31","R_0402_240R","TopLayer","RESC1005X04","31,0000","1,9500","180","ERJ-2GEJ241X","240R"
"R30","R_0402_240R","TopLayer","RESC1005X04","13,0000","5,2000","180","ERJ-2GEJ241X","240R"
