Altium Designer Pick and Place Locations
C:\Users\hans\Documents\Altium\shepherd_v2_nRF_FRAM_Target\Project Outputs\Pick Place\Pick Place for target_1.3d_panel(OnlyPopulate).csv

========================================================================================================================
File Design Information:

Date:       12/09/24
Time:       14:19
Revision:   Not in VersionControl
Variant:    OnlyPopulate
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Manufacturer PN","Value"
"X4","ECX-.327-CDX-1293","TopLayer","XTAL_ECS-32x15","40,8000","35,1200","180","ECX-.327-CDX-1293","32.768 kHz"
"X3","ECX-.327-CDX-1293","TopLayer","XTAL_ECS-32x15","26,6300","32,1499","90","ECX-.327-CDX-1293","32.768 kHz"
"X2","ECS-320-12-37B2-7KM","TopLayer","XTAL_ECS_20x16_4L","35,5500","25,1999","0","ECS-320-12-37B2-7KM-TR","32 MHz"
"X1","ECX-.327-CDX-1293","TopLayer","XTAL_ECS-32x15","25,9500","21,9000","90","ECX-.327-CDX-1293","32.768 kHz"
"U5","UA_MCP6546","TopLayer","SOT65P210X110-5N","20,9500","34,7000","270","MCP6546T-I/LT",""
"U4","UD_TS5A3167","TopLayer","SOT65P210X110-5N","17,5500","35,6500","270","TS5A3167DCKR","SPST"
"U3","UD_AB1805","TopLayer","QFN50P300X300X100_HS-17N","42,2500","31,9200","0","AB1805-T3",""
"U2","UD_MSP430FR5994","TopLayer","BGA121C50P11X11_600X600X100","30,7500","32,7000","180","MSP430FR5994IZVWR",""
"U1","UD_nRF52840","TopLayer","BGAS73C25P24X24_700X700X85","30,9222","19,9000","0","nRF52840-QIAA",""
"T2","T_BSH105","TopLayer","SOT95P230X110-3N","19,9000","17,6500","270","BSH105,215",""
"T1","T_BSH105","TopLayer","SOT95P230X110-3N","38,3500","14,5000","180","BSH105,215",""
"R74","R_0402_100k_1%","TopLayer","RESC1005X04","23,1500","34,4500","0","ERJ-2RKF1003X","100k"
"R73","R_0402_10k","TopLayer","RESC1005X04","23,1500","35,5500","180","ERJ-2GEJ103X","10k"
"R72","R_0402_1M","TopLayer","RESC1005X04","20,9500","36,6500","180","ERJ-2GEJ105X","1M"
"R71","R_0402_100k_1%","TopLayer","RESC1005X04","17,3500","33,6000","0","ERJ-2RKF1003X","100k"
"R70","R_0402_100k_1%","TopLayer","RESC1005X04","23,1500","36,6499","0","ERJ-2RKF1003X","100k"
"R69","R_0402_240R","TopLayer","RESC1005X04","43,7500","28,5500","270","ERJ-2GEJ241X","240R"
"R68","R_0402_240R","TopLayer","RESC1005X04","40,7500","28,5500","270","ERJ-2GEJ241X","240R"
"R67","R_0402_1M","TopLayer","RESC1005X04","18,8000","20,2499","270","ERJ-2GEJ105X","1M"
"R66","R_0402_1M","TopLayer","RESC1005X04","41,0000","15,4500","180","ERJ-2GEJ105X","1M"
"R65","R_0402_100R","TopLayer","RESC1005X04","24,5500","25,1000","0","ERJ-2GEJ101X","100R"
"R64","R_0402_1k","TopLayer","RESC1005X04","43,1500","14,1500","0","ERJ-2GEJ102X","1k"
"R63","R_0402_240R","TopLayer","RESC1005X04","17,1000","20,5500","0","ERJ-2GEJ241X","240R"
"R62","R_0402_240R","TopLayer","RESC1005X04","17,1000","21,5500","0","ERJ-2GEJ241X","240R"
"R61","R_0402_47k","TopLayer","RESC1005X04","17,1000","18,5500","0","ERJ-2GEJ473X","47k"
"R60","R_0402_240R","TopLayer","RESC1005X04","26,1500","34,7000","0","ERJ-2GEJ241X","240R"
"R59","R_0402_470R","TopLayer","RESC1005X04","35,0300","32,3000","0","ERJ-2RKF4700X","470R"
"R58","R_0402_240R","TopLayer","RESC1005X04","40,7000","27,0500","180","ERJ-2GEJ241X","240R"
"R57","R_0402_470R","TopLayer","RESC1005X04","34,3500","28,5000","90","ERJ-2RKF4700X","470R"
"R56","R_0402_240R","TopLayer","RESC1005X04","19,8000","20,2500","90","ERJ-2GEJ241X","240R"
"R55","R_0402_240R","TopLayer","RESC1005X04","19,1000","24,2499","0","ERJ-2GEJ241X","240R"
"R54","R_0402_240R","TopLayer","RESC1005X04","19,1000","25,2499","0","ERJ-2GEJ241X","240R"
"R53","R_0402_240R","TopLayer","RESC1005X04","17,1000","29,9500","0","ERJ-2GEJ241X","240R"
"R52","R_0402_240R","TopLayer","RESC1005X04","35,1000","33,6500","180","ERJ-2GEJ241X","240R"
"R51","R_0402_240R","TopLayer","RESC1005X04","41,7500","28,5500","270","ERJ-2GEJ241X","240R"
"R50","R_0402_240R","TopLayer","RESC1005X04","17,1000","31,1000","0","ERJ-2GEJ241X","240R"
"R49","R_0402_240R","TopLayer","RESC1005X04","39,2500","29,0500","180","ERJ-2GEJ241X","240R"
"R48","R_0402_240R","TopLayer","RESC1005X04","26,3000","36,7000","0","ERJ-2GEJ241X","240R"
"R47","R_0402_240R","TopLayer","RESC1005X04","19,1000","26,2500","0","ERJ-2GEJ241X","240R"
"R46","R_0402_240R","TopLayer","RESC1005X04","26,1500","35,7000","0","ERJ-2GEJ241X","240R"
"R45","R_0402_240R","TopLayer","RESC1005X04","19,1000","27,2500","0","ERJ-2GEJ241X","240R"
"R44","R_0402_470R","TopLayer","RESC1005X04","35,1000","36,6500","180","ERJ-2RKF4700X","470R"
"R43","R_0402_240R","TopLayer","RESC1005X04","17,1000","24,7499","0","ERJ-2GEJ241X","240R"
"R42","R_0402_470R","TopLayer","RESC1005X04","35,1000","35,6500","180","ERJ-2RKF4700X","470R"
"R41","R_0402_240R","TopLayer","RESC1005X04","41,0000","14,4500","0","ERJ-2GEJ241X","240R"
"R40","R_0402_240R","TopLayer","RESC1005X04","17,1000","28,9500","0","ERJ-2GEJ241X","240R"
"R39","R_0402_240R","TopLayer","RESC1005X04","17,1000","22,5500","0","ERJ-2GEJ241X","240R"
"R38","R_0402_470R","TopLayer","RESC1005X04","32,2500","28,4999","90","ERJ-2RKF4700X","470R"
"R37","R_0402_240R","TopLayer","RESC1005X04","17,1000","23,5500","0","ERJ-2GEJ241X","240R"
"R36","R_0402_470R","TopLayer","RESC1005X04","33,2500","28,3500","90","ERJ-2RKF4700X","470R"
"R35","R_0402_240R","TopLayer","RESC1005X04","19,1000","28,5499","0","ERJ-2GEJ241X","240R"
